LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2016 22:13:30,0                 
Time,Ampl
-7.068315e-007,1.35599
-7.066315e-007,1.38799
-7.064315e-007,1.35599
-7.062315e-007,1.32399
-7.060315e-007,1.32399
-7.058315e-007,1.32399
-7.056315e-007,1.29199
-7.054315e-007,1.38799
-7.052315e-007,1.32399
-7.050315e-007,1.29199
-7.048315e-007,1.38799
-7.046315e-007,1.35599
-7.044315e-007,1.38799
-7.042315e-007,1.35599
-7.040315e-007,1.32399
-7.038315e-007,1.35599
-7.036315e-007,1.29199
-7.034315e-007,1.32399
-7.032315e-007,1.32399
-7.030315e-007,1.38799
-7.028315e-007,1.32399
-7.026315e-007,1.35599
-7.024315e-007,1.35599
-7.022315e-007,1.35599
-7.020315e-007,1.32399
-7.018315e-007,1.32399
-7.016315e-007,1.35599
-7.014315e-007,1.35599
-7.012315e-007,1.35599
-7.010315e-007,1.29199
-7.008315e-007,1.32399
-7.006315e-007,1.35599
-7.004315e-007,1.29199
-7.002315e-007,1.38799
-7.000315e-007,1.35599
-6.998315e-007,1.32399
-6.996315e-007,1.32399
-6.994315e-007,1.32399
-6.992315e-007,1.35599
-6.990315e-007,1.32399
-6.988315e-007,1.32399
-6.986315e-007,1.35599
-6.984315e-007,1.35599
-6.982315e-007,1.38799
-6.980315e-007,1.38799
-6.978315e-007,1.35599
-6.976315e-007,1.35599
-6.974315e-007,1.41999
-6.972315e-007,1.29199
-6.970315e-007,1.29199
-6.968315e-007,1.32399
-6.966315e-007,1.32399
-6.964315e-007,1.29199
-6.962315e-007,1.32399
-6.960315e-007,1.32399
-6.958315e-007,1.35599
-6.956315e-007,1.32399
-6.954315e-007,1.32399
-6.952315e-007,1.35599
-6.950315e-007,1.35599
-6.948315e-007,1.32399
-6.946315e-007,1.35599
-6.944315e-007,1.35599
-6.942315e-007,1.32399
-6.940315e-007,1.32399
-6.938315e-007,1.35599
-6.936315e-007,1.29199
-6.934315e-007,1.32399
-6.932315e-007,1.38799
-6.930315e-007,1.35599
-6.928315e-007,1.32399
-6.926315e-007,1.35599
-6.924315e-007,1.32399
-6.922315e-007,1.35599
-6.920315e-007,1.32399
-6.918315e-007,1.35599
-6.916315e-007,1.32399
-6.914315e-007,1.32399
-6.912315e-007,1.29199
-6.910315e-007,1.35599
-6.908315e-007,1.32399
-6.906315e-007,1.38799
-6.904315e-007,1.38799
-6.902315e-007,1.29199
-6.900315e-007,1.32399
-6.898315e-007,1.29199
-6.896315e-007,1.29199
-6.894315e-007,1.35599
-6.892315e-007,1.35599
-6.890315e-007,1.29199
-6.888315e-007,1.38799
-6.886315e-007,1.35599
-6.884315e-007,1.35599
-6.882315e-007,1.29199
-6.880315e-007,1.32399
-6.878315e-007,1.35599
-6.876315e-007,1.35599
-6.874315e-007,1.35599
-6.872315e-007,1.35599
-6.870315e-007,1.32399
-6.868315e-007,1.32399
-6.866315e-007,1.35599
-6.864315e-007,1.38799
-6.862315e-007,1.35599
-6.860315e-007,1.35599
-6.858315e-007,1.29199
-6.856315e-007,1.29199
-6.854315e-007,1.32399
-6.852315e-007,1.35599
-6.850315e-007,1.35599
-6.848315e-007,1.38799
-6.846315e-007,1.35599
-6.844315e-007,1.29199
-6.842315e-007,1.29199
-6.840315e-007,1.38799
-6.838315e-007,1.29199
-6.836315e-007,1.29199
-6.834315e-007,1.35599
-6.832315e-007,1.29199
-6.830315e-007,1.32399
-6.828315e-007,1.32399
-6.826315e-007,1.35599
-6.824315e-007,1.38799
-6.822315e-007,1.38799
-6.820315e-007,1.41999
-6.818315e-007,1.35599
-6.816315e-007,1.32399
-6.814315e-007,1.35599
-6.812315e-007,1.32399
-6.810315e-007,1.35599
-6.808315e-007,1.35599
-6.806315e-007,1.38799
-6.804315e-007,1.29199
-6.802315e-007,1.32399
-6.800315e-007,1.35599
-6.798315e-007,1.35599
-6.796315e-007,1.38799
-6.794315e-007,1.35599
-6.792315e-007,1.32399
-6.790315e-007,1.41999
-6.788315e-007,1.35599
-6.786315e-007,1.35599
-6.784315e-007,1.38799
-6.782315e-007,1.35599
-6.780315e-007,1.32399
-6.778315e-007,1.32399
-6.776315e-007,1.29199
-6.774315e-007,1.32399
-6.772315e-007,1.32399
-6.770315e-007,1.29199
-6.768315e-007,1.38799
-6.766315e-007,1.35599
-6.764315e-007,1.38799
-6.762315e-007,1.35599
-6.760315e-007,1.29199
-6.758315e-007,1.29199
-6.756315e-007,1.29199
-6.754315e-007,1.32399
-6.752315e-007,1.32399
-6.750315e-007,1.32399
-6.748315e-007,1.32399
-6.746315e-007,1.35599
-6.744315e-007,1.35599
-6.742315e-007,1.32399
-6.740315e-007,1.32399
-6.738315e-007,1.35599
-6.736315e-007,1.35599
-6.734315e-007,1.35599
-6.732315e-007,1.32399
-6.730315e-007,1.32399
-6.728315e-007,1.35599
-6.726315e-007,1.35599
-6.724315e-007,1.35599
-6.722315e-007,1.35599
-6.720315e-007,1.35599
-6.718315e-007,1.29199
-6.716315e-007,1.29199
-6.714315e-007,1.32399
-6.712315e-007,1.32399
-6.710315e-007,1.29199
-6.708315e-007,1.29199
-6.706315e-007,1.32399
-6.704315e-007,1.38799
